Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value
OUT_19987,2024,12,DIST_S_02,SKU_07,-20.97522261545517,-13633.905372676802
OUT_14664,2025,4,DIST_NW_01,SKU_02,-142.66237109624393,-36141.10743771544
OUT_13596,2023,6,DIST_NW_02,SKU_05,-72.33638536313663,-6510.268246003639
OUT_10231,2025,2,DIST_C_03,SKU_05,-64.16553952078387,-5774.896514313908
OUT_17901,2024,7,DIST_S_01,SKU_08,-6.00637464495142,-2642.768002054568
OUT_16990,2024,2,DIST_NW_01,SKU_04,-48.16716788631389,-15654.295884250618
OUT_14981,2023,8,DIST_NW_01,SKU_10,-19.292824038448067,-7123.48159133034
OUT_17208,2023,4,DIST_S_02,SKU_05,-90.313230864371,-8128.19293033194
OUT_13324,2024,6,DIST_NW_02,SKU_04,-9.309313409493612,-3025.5360134549624
OUT_02956,2023,7,DIST_W_02,SKU_08,-33.40243896597676,-14697.091952633858
OUT_09644,2024,2,DIST_C_01,SKU_10,-3.7354623288150703,-1379.2052378130163
OUT_10635,2023,1,DIST_C_01,SKU_10,-4.126454041387895,-1523.6473403130935
OUT_04280,2024,2,DIST_W_02,SKU_10,-7.204768998428933,-2660.202861283228
OUT_12140,2024,4,DIST_C_02,SKU_02,-29.340923152874563,-7433.070840977125
OUT_12601,2023,2,DIST_C_02,SKU_08,-5.804334276787905,-2553.863538457871
OUT_08380,2023,3,DIST_W_02,SKU_03,-10.703745883275689,-3746.346285421466
OUT_15047,2023,6,DIST_NW_02,SKU_07,-106.6162696363696,-69300.56187602837
OUT_04185,2025,4,DIST_W_01,SKU_09,-8.859455207478975,-19490.79242669269
OUT_19437,2023,12,DIST_S_01,SKU_03,-15.21803400373684,-5326.344904122302
OUT_15063,2025,6,DIST_NW_01,SKU_03,-25.77979687715121,-9022.88208734203
OUT_13931,2023,4,DIST_NW_01,SKU_08,-18.436650994760047,-8112.128474846457
OUT_17838,2024,2,DIST_S_02,SKU_02,-146.74768103099058,-37176.08817615544
